Question,Topic,Answer,Keywords
How do I clean a fabric sofa?,Usage and Maintenance,Use a mild detergent and a soft cloth for EvoCasa’s fabric sofas. Refer to the care instructions included with your product for details.,"clean, fabric sofa, maintenance"
How do I maintain a wooden table?,Usage and Maintenance,Wipe EvoCasa’s wooden tables with a damp cloth and avoid direct sunlight. Use wood polish periodically for best results.,"maintenance, wooden table, care"
Is this product safe for children?,Usage and Maintenance,EvoCasa’s products are designed with safety in mind and meet child-safety standards. Check product details for specifics.,"safety, children, product"
How do I add a product to my cart?,App Usage,Select the product and click ‘Add to Cart’ on EvoCasa’s product page. You can view your cart in the app.,"add to cart, app, shopping"
Why can’t I complete my payment?,App Usage,"Ensure your payment details are correct on EvoCasa’s app. If the issue persists, contact customer service for assistance.","payment, error, app"
How do I create an account on the app?,App Usage,"Go to the ‘Sign Up’ section on EvoCasa’s app, enter your details, and follow the prompts to create an account.","account, sign up, app"
Is my personal information secure?,App Usage,EvoCasa uses industry-standard encryption to protect your data. Read our privacy policy for more details.,"security, personal information, privacy"
Where are your physical stores?,Physical Store,EvoCasa’s stores are located at [Store Addresses]. Check our website for a full list and hours.,"store, location, showroom"
What are your store hours?,Physical Store,"EvoCasa’s stores are open from 9 AM to 8 PM, Monday to Sunday. Check specific locations for variations.","store hours, showroom, opening"
Can I see products in person at a showroom?,Physical Store,"Yes, EvoCasa’s showrooms display a wide range of products. Visit [Showroom Address] or check our website for locations.","showroom, products, visit"
Do you offer in-store consultation?,Physical Store,"Yes, EvoCasa provides in-store consultation at select showrooms. Contact us to book an appointment.","consultation, showroom, in-store"
Are your products eco-friendly?,Sustainability,Many of EvoCasa’s products use sustainable materials. Check product details for eco-friendly certifications.,"eco-friendly, sustainability, materials"
Do you use recycled materials?,Sustainability,EvoCasa uses recycled materials in select products. Look for the ‘Eco’ label on our website or app.,"recycled materials, sustainability, eco"
Is this product in stock?,Inventory,Check EvoCasa’s product page for real-time stock status or contact us with the product name for confirmation.,"stock, inventory, availability"
When will an out-of-stock product be available?,Inventory,"Restock times at EvoCasa vary. Please contact us with the product name, and we’ll notify you when it’s available.","out of stock, restock, availability"
Do you offer support in other languages?,Multilingual Support,EvoCasa currently offers support in English and [other languages]. Contact us to confirm available languages.,"multilingual, support, languages"
